conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,1885837506039718108,Sat Feb 01 23:47:53 +0000 2025,217,Baru kali ini nulis op-ed nggak sebagai profesional tapi sebagai slow reader yang prihatin. Nggak nawarin solusi juga Makasih @jakpost mau memberikan ruang :) Aku tag figur yang kayaknya suka baca ya: Pak @aniesbaswedan Pak @prabowo Mbak @NajwaShihab https://t.co/N0r2sQtfeD,1885837506039718108.1,https://pbs.twimg.com/media/GivXNpGb0AA8_-W.jpg,Unnamed: 6,in,Unnamed: 8,2,2.1,68,https://x.com/undefined/status/1885837506039718108,69806285,Unnamed: 14,1897797749695037858,Thu Mar 06 23:53:37 +0000 2025,2384,Jalan Mundur Demokrasi Indonesia Masyarakat sipil melihat terjadi gejala kemerosotan demokrasi pada awal pemerintahan Prabowo Subianto. Penilaian masyarakat sipil ini sejalan dengan hasil riset The Economist Intelligence Unit (EIU). Hasil riset lembaga kajian dan analisis yang https://t.co/JkdRqt5Zz9,1897797749695037858.1,https://pbs.twimg.com/media/GlZU_jsbwAAj6Hj.jpg,16,40,1027,https://x.com/undefined/status/1897797749695037858,18129942,1921682434594091108,Sun May 11 21:42:50 +0000 2025,Salut les pd https://t.co/2h3UT180wb,1921682434594091108.1,https://pbs.twimg.com/media/Gqsv_YwWUAAQwwW.jpg,fr,0,0.1,0.2,https://x.com/undefined/status/1921682434594091108,1532858223916613632
1.939076413841437e+18,Sat Jun 28 21:40:18 +0000 2025,0.0,Liat foto2 jaman dulu ternyata baru ngeuh dulu auranya seperti opak opak Korea yah https://t.co/ct3KnoJDwz,1.939076413841437e+18,https://pbs.twimg.com/ext_tw_video_thumb/1939076393876262913/pu/img/n9iXk4gMhENpJcGQ.jpg,,in,,0.0,0.0,0.0,https://x.com/undefined/status/1939076413841436991,1373921305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9390982791549834e+18,Sat Jun 28 23:07:11 +0000 2025,1.0,Sudah jelas dan fakta jokowi adalah PKI yg menggunakan cara licik dan ancaman apakah bisa di katakan prabowo pro rakyat sedangkan wowo tdk bisa memberikan rasa aman kpd rakyatnya 𝙉𝘿𝘼𝙎𝙈𝙐 pura gak tau,1.9390982791549834e+18,,,in,,0.0,0.0,0.0,https://x.com/undefined/status/1939098279154983403,1.7838199554248622e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9390567869649144e+18,Sat Jun 28 20:22:18 +0000 2025,0.0,Mana berani @KPK_RI rezim @prabowo nangkap anak mantu si joko finalis terkorup dunia. Mau di tempeleng ma joko?si @bang_dasco si @Dahnilanzar tahu pasti tuh bahwa rezim Prabowo ngga bakalan berani berhadapan sama genk joko terkorup dunia.,1.9390567869649144e+18,,,in,,0.0,1.0,0.0,https://x.com/undefined/status/1939056786964914529,1.6170603455286108e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9390893825958298e+18,Sat Jun 28 22:31:50 +0000 2025,0.0,P nya Prabowo W nya Widodo,1.9390893825958298e+18,,,in,,0.0,0.0,0.0,https://x.com/undefined/status/1939089382595829795,1.7515692378635018e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.938993176318284e+18,Sat Jun 28 16:09:32 +0000 2025,0.0,Harimau gak suka dirusuhin udah tempatnya dipersempit dikotorin pula. Manusia emang kalo dah gila arisan sangat nggilani. @prabowo,1.938993176318284e+18,,,in,,0.0,0.0,0.0,https://x.com/undefined/status/1938993176318283983,1.3282974410707026e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9390684680931533e+18,Sat Jun 28 21:08:43 +0000 2025,0.0,Ini cara mengaudisi persertanya gmn sih? Terus ada jurinya yg duduk di belakang meja dan memberikan penilaian serta komentar nya seperti di Indonesia idol ?,1.9390684680931533e+18,,,in,,0.0,0.0,0.0,https://x.com/undefined/status/1939068468093153310,1373921305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9390059473531456e+18,Sat Jun 28 17:00:17 +0000 2025,0.0,Wanita bila dibelai saja sudah luluh Wanita itu suka diperhatikan Wanita juga diberi hadiah Apalagi kejutan Wanita itu kelihatannya saja bisa ngelakukan semua sendiri dari masak bersih Dan cuci baju. Tapi Dia juga sebenernya tidak ingin melakukan nya Dan wanita juga laki Peka.,1.9390059473531456e+18,,,in,,0.0,0.0,0.0,https://x.com/undefined/status/1939005947353145669,1.5514805394878177e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9390775931328676e+18,Sat Jun 28 21:44:59 +0000 2025,0.0,Gimana Pak @prabowo @gibran_tweet waktu kampanye akan menyediakan lapangan pekerjaan dan mengentaskan kemiskinan. Dealer ini korban kebijaksanaan kalian bangkrut dan menciptakan pengangguran baru. Kalian sebenarnya becus tidak sih menganalisa ekonomi ? https://t.co/5zzzuDUcC5,1.9390775931328676e+18,,,in,,0.0,0.0,0.0,https://x.com/undefined/status/1939077593132867615,1.8387989643401994e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.939044123887182e+18,Sat Jun 28 19:31:59 +0000 2025,1.0,salahe prabowo,1.939044123887182e+18,,,in,,0.0,0.0,0.0,https://x.com/undefined/status/1939044123887182142,1.5989793880828928e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9390661553958833e+18,Sat Jun 28 20:59:32 +0000 2025,0.0,Kita semua sebenarnya sudah pada gila tapi ga ada yg videoin aja sama gw jga gila kok,1.9390661553958833e+18,,,in,,0.0,0.0,0.0,https://x.com/undefined/status/1939066155395883299,1373921305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
