conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.940385939081323e+18,Wed Jul 02 12:23:54 +0000 2025,0.0,Program Makan Bergizi Gratis (MBG) hadir untuk memastikan anak-anak Indonesia tumbuh sehat dan cerdas. Langkah ini menjadi fondasi penting dalam mewujudkan Generasi Emas Indonesia 2045 yang unggul dan berdaya saing. https://t.co/h5Vca0VGDG,1.9403859459641303e+18,https://pbs.twimg.com/media/Gu2iKdWXwAA9biH.jpg,BenSigorta,in,,0.0,1.0,0.0,https://x.com/undefined/status/1940385945964130384,1541049978.0,
1.9403450876550477e+18,Wed Jul 02 09:41:33 +0000 2025,3.0,Gile lu ndro.... 50 triliun wir kalo dibeliin cilok penuh sekecamatan itu. Sudahlah bos hentikan program MBG ini lebih baik uangnya digunakan untuk hal yang lebih bermanfaat bagi rakyat banyak. @prabowo https://t.co/MdBJAqKSTN,1.9403450876550477e+18,https://pbs.twimg.com/media/Gu19kW7WAAAD_tg.jpg,,in,,0.0,2.0,3.0,https://x.com/undefined/status/1940345087655047491,1.0845699673940952e+18,
1.940388488505148e+18,Wed Jul 02 12:34:00 +0000 2025,47.0,ANEH banget Pemerintahan Prabowo ini Sudah jelas Hutang terus Meningkat. Bukannya di STOP Dana MBG malah terus dinaikkan... https://t.co/0me2FBWqxs,1.940388488505148e+18,https://pbs.twimg.com/media/Gu2kSyBWcAA437I.jpg,,in,,1.0,16.0,7.0,https://x.com/undefined/status/1940388488505147563,7.977614178940518e+17,
1.9402772782584305e+18,Wed Jul 02 05:12:06 +0000 2025,18.0,LANJUTKAN MBG!!!!!!!! Wakakakakakakkakaka... Setidaknya sampai tahun 2030 sebelum Konoha Bubar! #Ngik https://t.co/cnSwo7Axie,1.9402772782584305e+18,https://pbs.twimg.com/media/Gu0_bF-W8AEF4mG.jpg,,in,,2.0,4.0,12.0,https://x.com/undefined/status/1940277278258430241,257090687.0,
1.937508543697159e+18,Wed Jul 02 14:08:06 +0000 2025,1.0,Dukung Program Makan Bergizi Gratis https://t.co/Kyr9c6hKQl,1.9404121669114516e+18,https://pbs.twimg.com/media/Gu26lSUXoAAdXbJ.jpg,CacaAngsa1,in,,0.0,0.0,0.0,https://x.com/undefined/status/1940412166911451304,1.564523047440175e+18,
1.937508543697159e+18,Wed Jul 02 14:07:48 +0000 2025,1.0,Bersama Dukung Program Makan Bergizi Gratis https://t.co/HyWUsztGzo,1.9404120929071311e+18,https://pbs.twimg.com/media/Gu26g_wW8AAh7bE.jpg,CacaAngsa1,in,,0.0,0.0,0.0,https://x.com/undefined/status/1940412092907131104,1.564523047440175e+18,
1.9405572693869e+18,Wed Jul 02 23:44:41 +0000 2025,12.0,Klo sekolah libur MBG jalan teruskah? Lha terus yg dikasih makan siapa ya? Maafkan pertanyaanku yg merasa heran,1.9405572693869e+18,,,in,,0.0,4.0,5.0,https://x.com/undefined/status/1940557269386899778,1.0542175926451404e+18,
1.9403527516131208e+18,Wed Jul 02 10:12:00 +0000 2025,16.0,MBG... CKG... Apalagi nanti ya? Yg penting ada kalimat gratis maka disebut bukti komitmen ,1.9403527516131208e+18,,,in,,1.0,9.0,3.0,https://x.com/undefined/status/1940352751613120873,1.220019150585643e+18,
1.9403753786166236e+18,Wed Jul 02 11:41:55 +0000 2025,0.0,Baru Tiba di Indonesia Menko AHY Langsung Tancap Gas Resmikan Infrastruktur SPPG di Bekasi #MenkoAHY #KemenkoInfrastruktur #KemenkoInfra #InfrastrukturUntukSemua #demokrat #sby #ahy #demokratjatim #demokratsitubondo #sppg https://t.co/bG1Cjh4dCp,1.9403753786166236e+18,https://pbs.twimg.com/media/Gu2ZGE-XkAAAdxx.jpg,,in,,0.0,0.0,0.0,https://x.com/undefined/status/1940375378616623356,1.4133535718404997e+18,
1.9404738254033267e+18,Wed Jul 02 18:13:06 +0000 2025,0.0,Program Makan Bergizi Gratis bikin anak-anak tumbuh sehat &amp; pintar jadi modal keren buat wujudkan Generasi Emas Indonesia. #MakanBergizi #GenerasiSehat #DukungBersama https://t.co/jjZVASphQF,1.9404738254033267e+18,https://pbs.twimg.com/media/Gu3ypz7XoAATZKf.jpg,,in,,0.0,0.0,0.0,https://x.com/undefined/status/1940473825403326604,1.6862761923522724e+18,
1.9405530216978068e+18,Wed Jul 02 23:27:48 +0000 2025,0.0,Mari kita dukung Program Makan Bergizi Gratis https://t.co/it0HBXka6s,1.9405530216978068e+18,https://pbs.twimg.com/media/Gu46pLRXMAA-tOC.jpg,,in,,0.0,0.0,0.0,https://x.com/undefined/status/1940553021697806831,4573630957.0,
1.9404046063261944e+18,Wed Jul 02 13:38:03 +0000 2025,0.0,Dengan asupan bergizi setiap hari anak-anak tumbuh optimal belajar lebih baik dan siap menghadapi masa depan. Mari dukung bersama program Makan Bergizi Gratis. #MakanBergizi #GenerasiSehat #DukungBersama https://t.co/cEh2VGvO0C,1.9404046063261944e+18,https://pbs.twimg.com/media/Gu2zsbDXUAA6pRB.jpg,,in,,0.0,0.0,0.0,https://x.com/undefined/status/1940404606326194303,1.5831946268815729e+18,
1.940404229992219e+18,Wed Jul 02 13:36:34 +0000 2025,0.0,Makan Bergizi Gratis setiap hari adalah pondasi kuat untuk mencetak generasi sehat dan cerdas. Program ini bukan sekadar bantuan tapi investasi masa depan bangsa. #MakanBergizi #GenerasiSehat #DukungBersama https://t.co/qoCb9mTdIn,1.940404229992219e+18,https://pbs.twimg.com/media/Gu2zWhHW8AAx50i.jpg,,in,,0.0,0.0,0.0,https://x.com/undefined/status/1940404229992218772,1.5831946268815729e+18,
1.9405564823635108e+18,Wed Jul 02 23:41:33 +0000 2025,0.0,Polri buktiin lewat SPPG bahwa semua bisa kebagian gizi sehat dan baik #MBGUntukIndonesiaEmas https://t.co/7QQp7NQROQ,1.9405564823635108e+18,https://pbs.twimg.com/ext_tw_video_thumb/1940556343145828354/pu/img/29Z2Warr-E8lt0On.jpg,,in,,0.0,0.0,0.0,https://x.com/undefined/status/1940556482363510805,1079979624.0,
1.940384753808814e+18,Wed Jul 02 12:19:10 +0000 2025,3.0,Gunakan Logika @prabowo darimana jalannya makan alakadarnya bisa meningkatkan kecerdasan? Org tua yg sejahtera pendidikan yg bermutu yg bisa meningkatkan kecerdasan. MBG itu ngabisin uang cuma jadi eek. Sadarlah.,1.940384753808814e+18,,,in,,0.0,0.0,0.0,https://x.com/undefined/status/1940384753808814185,213168371.0,
1.9403288303524416e+18,Wed Jul 02 08:36:57 +0000 2025,1.0,Makan Bergizi Gemoy MBG,1.9403288303524416e+18,,,in,,0.0,0.0,0.0,https://x.com/undefined/status/1940328830352441513,80553919.0,
1.9402932097014413e+18,Wed Jul 02 14:05:11 +0000 2025,1.0,Bersama Dukung Program Makan Bergizi Gratis https://t.co/RQqJyz62a7,1.940411434426581e+18,https://pbs.twimg.com/media/Gu256qxWkAAYR8W.jpg,CiciAngsa2,in,,0.0,0.0,0.0,https://x.com/undefined/status/1940411434426581079,1.5645244979101082e+18,
1.940252159561671e+18,Wed Jul 02 03:32:17 +0000 2025,1.0,Apresiasi untuk seluruh petugas SPPG yg bekerja dengan sepenuh hati memberikan menu makanan yg terbaik tidak hanya lezat tetapi juga memenuhi kebutuhan gizi seimbang bagi anak2 Indonesia agar tumbuh sehat Lanjutkan MBG #MBGuntukIndonesiaHebat Jeddah #HideAndSisEP2 Semangat Gaji https://t.co/YcolnCNwBr,1.940252159561671e+18,https://pbs.twimg.com/ext_tw_video_thumb/1940251958712897536/pu/img/p6HZGvsrh0HoekfX.jpg,,in,,0.0,0.0,1.0,https://x.com/undefined/status/1940252159561670832,1.398495487477502e+18,
1.9402932097014413e+18,Wed Jul 02 14:05:42 +0000 2025,1.0,Dukung Program Makan Bergizi Gratis https://t.co/6Kfl5rVaYK,1.9404115630323425e+18,https://pbs.twimg.com/media/Gu26CJ8W8AA1Fah.jpg,CiciAngsa2,in,,0.0,0.0,0.0,https://x.com/undefined/status/1940411563032342653,1.5645244979101082e+18,
1.9403884845667287e+18,Wed Jul 02 12:34:26 +0000 2025,0.0,Program Makan Bergizi Gratis dapat menciptakan ekosistem berkelanjutan demi generasi yang unggul. #MakanBergizi #GenerasiSehat #DukungBersama https://t.co/1dH2QAjdJs,1.9403885946671928e+18,https://pbs.twimg.com/media/Gu2lJKRW0AAokeg.jpg,MoccaBottol,in,,0.0,0.0,0.0,https://x.com/undefined/status/1940388594667192555,1.5825562853581292e+18,
1.9399805207101852e+18,Wed Jul 02 12:03:01 +0000 2025,0.0,@otewechannel @Ary_PrasKe2 @Anak__Ogi @AntoniusCDN @BebySoSweet @Bersinar2023 @BiLLRaY2019 @ch_chotimah2 @HumorJonTampan @jhonsitorus_19 @newIding30 @NgkongRoses He bro soal kebijakan impor food tray pemerintah bilang biar Makan Bergizi Gratis (MBG) lancar soale kebutuhan banyak lokal ga cukup cepet nyediain. Data bilang Indonesia punya pabrik food tray kayak PT. Aurora Central Gemilang PT. Vacpack Indonesia sama PT. Gosyen,1.9403806882112187e+18,,otewechannel,in,,0.0,1.0,0.0,https://x.com/undefined/status/1940380688211218799,1.7206651831889224e+18,
